1	25151	24861	2	119.498888	26.076666		
1	25152	24861	2	119.498888	26.076666		
1	25153	24861	2	119.498888	26.076666		
1	25171	24861	2	119.5025	26.079444		
1	25172	24861	2	119.5025	26.079444		
1	25173	24861	2	119.5025	26.079444		
1	25191	24580	2	119.3019	25.83226		
1	25192	24580	2	119.3019	25.83226		
1	25601	24861	2	119.55447	26.15237		
1	162	24683	1	117.38203	23.84321			
1	201	22784	1	117.70475	24.04859			
1	202	22784	1	117.70475	24.04859			
1	203	22784	1	117.70475	24.04859			
1	231	24801	1	118.159931	24.683721			
1	233	24801	1	118.159931	24.683721			
1	241	24978	1	118.96021	25.29528			
9	241	22954	1	119.4837778	26.26444442			
9	242	22954	1	119.4837778	26.26444442			
1	243	24978	1	118.96021	25.29528			
1	246	24978	1	118.96021	25.29528			
8	251	23017	1	117.32642	24.75387			
8	252	23017	1	117.32642	24.75387			
8	253	23017	1	117.32642	24.75387			
1	361	22859	1	119.08589	25.40965			
1	362	22859	1	119.08589	25.40965			
1	365	22859	1	119.08589	25.40965			
8	421	22858	1	118.62565	25.33227			
8	423	22858	1	118.62565	25.33227			
8	423	24618	1	117.92894	24.559184			
8	431	24618	1	117.942101	24.575305			
8	432	24618	1	117.942101	24.575305			
1	471	24979	1	118.92004	25.27683			
1	473	24979	1	118.92004	25.27683			
1	474	24979	1	118.92004	25.27683			
1	533	22885	1	117.86598	24.33271			
1	541	24796	1	119.29077	25.77144			
1	542	24736	1	119.29077	25.77144			
1	602	24793	1	119.374867	25.898809			
1	651	22784	1	117.68221	24.00307			
1	653	22784	1	117.68221	24.00307			
1	671	22827	1	118.228381	24.687431			
1	673	22827	1	118.23451	24.69277			
1	861	22967	1	118.3490001	24.6936001			
1	863	22967	1	118.3490001	24.6936001			
1	864	22967	1	118.3490001	24.6936001			
1	865	22967	1	118.3490001	24.6936001			
1	891	24781	1	118.5133301	24.8128801			
1	893	24781	1	118.5133301	24.8128801			
1	894	24781	1	118.5133301	24.8128801			
1	896	24781	1	118.5133301	24.8128801			
1	901	24979	1	118.88403	25.27511			
1	902	24979	1	118.88403	25.27511			
1	904	24979	1	118.88403	25.27511			
8	911	22795	1	117.615561	24.582996			
1	912	24643	1	119.03067	25.34911			
1	913	24643	1	119.03067	25.34911			
1	921	22879	1	118.4560091	24.7754091			
1	922	22879	1	118.4560091	24.7754091			
1	991	22827	1	118.312779	24.676668			
1	993	22827	1	118.312779	24.676668			
1	1151	22785	1	117.53337	23.92627			
1	1191	22784	1	117.81407	24.18283			
1	1192	22784	1	117.81407	24.18283			
1	1281	22962	1	118.8421191	25.1803251			
1	1282	22962	1	118.8421191	25.1803251			
9	1291	22954	1	119.4485556	26.24680556			
9	1292	22954	1	119.4485556	26.24680556			
9	1293	22954	1	119.4485556	26.24680556			
7	1371	22970	1	118.161531	25.379631			
7	1372	22970	1	118.161531	25.379631			
7	1373	22970	1	118.161531	25.379631			
7	1421	22970	1	118.100361	25.428891			
1	1491	24978	1	118.97742	25.29812			
1	1492	24978	1	118.97742	25.29812			
1	1493	24978	1	118.97742	25.29812			
1	1512	24796	1	119.29768	25.82147			
1	1521	24979	1	118.89909	25.27245			
1	1583	24736	1	119.25023	25.51092			
6	1741	24863	1	118.794779	26.185258			
6	1742	24863	1	118.794779	26.185258			
6	1743	24863	1	118.794779	26.185258			
1	1761	22859	1	119.12941	25.43936			
1	1763	22859	1	119.12941	25.43936			
1	1764	22859	1	119.12941	25.43936			
1	1766	22859	1	119.12941	25.43936			
1	1823	22890	1	117.80771	24.49338			
1	1991	22996	1	119.5427778	26.50972222			
1	1992	22996	1	119.5427778	26.50972222			
1	1994	22996	1	119.5427778	26.50972222			
1	1995	22996	1	119.5427778	26.50972222			
1	2102	24978	1	119.00287	25.30413			
1	2103	24978	1	119.00287	25.30413			
1	2105	24978	1	119.00287	25.30413			
1	2106	24978	1	119.00287	25.30413			
1	2161	24801	1	118.188612	24.689168			
1	2162	24801	1	118.188612	24.689168			
1	2163	24801	1	118.188612	24.689168			
1	2182	24781	1	118.5480021	24.8288021			
1	2183	24781	1	118.5480021	24.8288021			
1	2192	22827	1	118.249723	24.691112			
1	2193	22827	1	118.249723	24.691112			
1	2211	22784	1	117.72923	24.07611			
1	2213	22784	1	117.72923	24.07611			
1	2381	24686	1	117.36497	23.79566			
1	2383	24686	1	117.36497	23.79566			
1	2401	24683	1	117.405	23.9192			
8	2441	23017	1	117.394947	24.715242			
8	2443	23017	1	117.394947	24.715242			
8	2461	23017	1	117.465	24.6554			
1	2472	22859	1	119.15204	25.45561			
1	2473	22859	1	119.15204	25.45561			
7	2673	23031	1	118.532441	24.86942			
7	2676	23031	1	118.532441	24.86942			
8	2681	23017	1	117.3046667	24.78263889			
8	2687	23017	1	117.3046667	24.78263889			
1	2762	22827	1	118.223334	24.699168			
1	2763	22827	1	118.223334	24.699168			
1	2771	24979	1	118.90991	25.27661			
1	2773	24979	1	118.90991	25.27661			
1	2851	24683	1	117.48116	23.92371			
1	2857	24683	1	117.48116	23.92371			
1	2872	22827	1	118.29379	24.68421			
1	2873	22827	1	118.29379	24.68421			
1	2881	22890	1	117.777895	24.490312			
1	2883	22890	1	117.777895	24.490312			
8	2887	22890	1	117.777895	24.490312			
7	2912	24773	1	118.4329987	24.98959923			
7	2915	24773	1	118.4329987	24.98959923			
1	3101	24651	1	119.05695	25.35987			
1	3103	24651	1	119.05695	25.35987			
9	3121	23005	1	119.2880556	26.14527778			
9	3122	23005	1	119.2880556	26.14527778			
9	3123	23005	1	119.2880556	26.14527778			
1	3132	22857	1	118.86633	25.25495			
1	3134	22849	1	118.86633	25.25495			
1	3136	22856	1	118.86633	25.25495			
7	3141	23029	1	118.272651	25.252641			
1	3351	22786	1	117.815821	24.409911			
1	3353	22786	1	117.815821	24.409911			
7	3382	22961	1	118.073031	25.482531			
1	3451	24978	1	118.94443	25.29115			
1	3453	24978	1	118.94443	25.29115			
1	3511	22951	1	119.3684417	25.88496942			
1	3512	22951	1	119.3684417	25.88496942			
1	3513	22951	1	119.3684417	25.88496942			
1	3514	22951	1	119.3684417	25.88496942			
1	3515	22951	1	119.3684417	25.88496942			
1	3516	22951	1	119.3684417	25.88496942			
9	3521	22811	1	119.2038889	26.11777778			
9	3523	22811	1	119.2038889	26.11777778			
9	3524	22811	1	119.2038889	26.11777778			
9	3526	22811	1	119.2038889	26.11777778			
9	3527	22811	1	119.2038889	26.11777778			
1	3562	22967	1	118.4101301	24.7274101			
1	3563	22967	1	118.4101301	24.7274101			
1	3563	22882	1	117.08956	23.71064			
1	3565	22967	1	118.4101301	24.7274101			
1	3566	22967	1	118.4101301	24.7274101			
1	3571	24686	1	117.28722	23.75967			
1	3572	24686	1	117.28722	23.75967			
1	3581	24801	1	118.104871	24.658041			
1	3583	24801	1	118.104871	24.658041			
1	3592	24801	1	118.131668	24.680557			
7	3632	24588	1	118.390422	25.068291			
1	3671	22951	1	119.3503583	25.87174997			
1	3672	22951	1	119.3503583	25.87174997			
1	3673	22951	1	119.3503583	25.87174997			
1	3674	22951	1	119.3503583	25.87174997			
1	3675	22951	1	119.3503583	25.87174997			
1	3676	22951	1	119.3503583	25.87174997			
1	3681	22951	1	119.3170278	25.85594442			
1	3682	22951	1	119.3170278	25.85594442			
1	3683	22951	1	119.3170278	25.85594442			
7	3701	24773	1	118.43834	24.97499			
7	3702	24773	1	118.43834	24.97499			
7	3703	24773	1	118.43834	24.97499			
7	3711	22979	1	118.3953323	25.14232063			
7	3713	22979	1	118.3953323	25.14232063			
1	3731	22785	1	117.5583	23.92532			
1	3733	22785	1	117.5583	23.92532			
6	3742	24582	1	119.1666389	26.07999997			
6	3743	24582	1	119.1666389	26.07999997			
6	3744	24582	1	119.1666389	26.07999997			
6	3745	24582	1	119.1666389	26.07999997			
9	3751	22805	1	119.129661	26.118748			
6	3752	22805	1	119.129661	26.118748			
9	3754	22805	1	119.129661	26.118748			
9	3755	22805	1	119.129661	26.118748			
8	3783	23015	1	117.997231	24.584891			
6	3831	24838	1	118.7188639	26.18494676			
6	3832	24838	1	118.7188639	26.18494676			
1	3862	24713	1	117.855	24.4055			
1	3881	24668	1	118.6677121	24.9805621			
1	3883	24668	1	118.6677121	24.9805621			
8	3952	24618	1	117.961621	24.578921			
8	3953	24618	1	117.961621	24.578921			
1	3961	23015	1	118.041112	24.609445			
6	3961	24863	1	118.769	26.1792			
1	3963	23015	1	118.041112	24.609445			
1	3971	22859	1	119.19635	25.48385			
1	3972	22859	1	119.19635	25.48385			
1	3981	22784	1	117.75284	24.13406			
1	3982	22784	1	117.75284	24.13406			
6	3992	24863	1	118.812679	26.178657			
6	3993	24863	1	118.812679	26.178657			
1	4041	22882	1	117.23	23.6998			
1	4042	22882	1	117.23	23.6998			
1	4043	22882	1	117.23	23.6998			
1	4051	24668	1	118.7333631	25.0751431			
1	4053	24668	1	118.7333631	25.0751431			
1	4091	22859	1	119.10054	25.43261			
1	4092	22859	1	119.10054	25.43261			
1	4211	22996	1	119.4994444	26.47833333			
1	4212	22996	1	119.4994444	26.47833333			
1	4213	22996	1	119.4994444	26.47833333			
1	4281	22996	1	119.48522	26.43422			
1	4282	24864	1	119.48522	26.43422			
8	4442	22887	1	117.69966	24.56095			
8	4443	22887	1	117.69966	24.56095			
8	4511	24719	1	117.5858333	24.61638889			
8	4513	24719	1	117.5858333	24.61638889			
1	4571	22967	1	118.3610471	24.6953301			
1	4573	22967	1	118.3610471	24.6953301			
1	4661	22879	1	118.4851601	24.7922601			
1	4663	22879	1	118.4851601	24.7922601			
1	4692	23016	1	117.89474	24.55365			
7	4711	22965	1	118.149551	25.33706667			
7	4712	22965	1	118.149551	25.33706667			
1	4721	24665	1	118.6179401	24.8992701			
1	4722	24665	1	118.6185001	24.8993501			
1	4731	22885	1	117.8269167	24.39141667			
1	4733	22885	1	117.8269167	24.39141667			
1	4741	24736	1	119.2096389	25.49180556			
1	4741	22967	1	118.3759191	24.7011591			
1	4742	24796	1	119.2096389	25.49180556			
1	4756	24665	1	118.6049911	24.8818111			
1	4757	24665	1	118.6049911	24.8818111			
2	4761	22858	1	118.6553733	25.38645			
8	4763	22858	1	118.6445633	25.3894			
1	4961	24643	1	119.01717	25.32088			
1	4962	24643	1	119.01717	25.32088			
1	4963	24643	1	119.01717	25.32088			
1	4964	24643	1	119.01717	25.32088			
1	4965	24643	1	119.01717	25.32088			
